N_unmapped	4140626	4140626	4140626
N_multimapping	753715	753715	753715
N_noFeature	126722	11752529	11860782
N_ambiguous	342237	82211	79846
WBGene00000003	255	126	130
WBGene00000007	94	46	49
WBGene00000014	0	0	0
WBGene00000015	5	3	2
WBGene00000022	659	332	342
WBGene00000024	0	0	0
WBGene00000027	0	1	0
WBGene00000029	0	0	0
WBGene00000030	0	0	0
WBGene00000031	24	9	15
WBGene00000054	48	18	30
WBGene00000055	64	48	32
WBGene00000056	32	17	15
WBGene00000057	35	16	19
WBGene00000062	11	7	4
WBGene00000063	1622	1063	1122
WBGene00000064	18504	9057	9466
WBGene00000065	3547	1961	2037
WBGene00000069	31	15	16
WBGene00000071	242	129	137
WBGene00000073	507	317	315
WBGene00000097	1094	564	530
WBGene00000098	6421	3217	3206
WBGene00000102	7541	3885	3697
WBGene00000108	5	3	2
WBGene00000110	3860	1940	1926
WBGene00000111	490	244	247
WBGene00000139	80	40	41
WBGene00000142	3501	1820	1731
WBGene00000144	917	468	449
WBGene00000146	6714	3379	3338
WBGene00000159	1112	569	543
WBGene00000168	4394	2113	2285
WBGene00000172	90	46	45
WBGene00000173	10	7	4
WBGene00000174	57	27	33
WBGene00000200	3825	1950	1875
WBGene00000214	7206	3575	3632
WBGene00000215	2581	1271	1328
WBGene00000218	6949	3480	3476
WBGene00000219	19718	9978	9749
WBGene00000226	4697	2418	2279
WBGene00000228	1336	687	650
WBGene00000233	193	101	118
WBGene00000244	11	6	5
WBGene00000249	1525	771	754
WBGene00000250	1587	821	771
WBGene00000257	4280	2199	2083
WBGene00000285	119	249	136
WBGene00000298	821	413	432
WBGene00000302	62	34	29
WBGene00000373	229	104	125
WBGene00000387	1731	824	908
WBGene00000412	6	2	4
WBGene00000445	12	6	9
WBGene00000447	8	2	6
WBGene00000449	21	5	18
WBGene00000453	1035	574	561
WBGene00000454	7	5	2
WBGene00000455	34	18	18
WBGene00000477	69	46	29
WBGene00000478	365	205	162
WBGene00000480	5744	2844	2918
WBGene00000488	36	17	23
WBGene00000490	16	11	6
WBGene00000491	41	33	19
WBGene00000498	2266	1189	1077
WBGene00000499	490	272	227
WBGene00000514	190	98	94
WBGene00000521	6	3	3
WBGene00000533	2394	1235	1162
WBGene00000534	3807	2045	1991
WBGene00000539	57	23	34
WBGene00000541	42	24	21
WBGene00000552	9240	4559	4682
WBGene00000554	691	334	359
WBGene00000555	22	7	15
WBGene00000556	228	113	115
WBGene00000557	161	92	69
WBGene00000558	278	149	129
WBGene00000559	1	1	0
WBGene00000562	113	59	66
WBGene00000592	1806	944	867
WBGene00000599	165	91	74
WBGene00000601	16	9	7
WBGene00000602	15	8	7
WBGene00000614	0	0	0
WBGene00000620	41	23	18
WBGene00000712	106	56	50
WBGene00000713	4612	2309	2304
WBGene00000714	3	2	1
WBGene00000715	134	71	69
WBGene00000716	2776	1382	1407
WBGene00000717	107	61	46
