N_unmapped	1400596	1400596	1400596
N_multimapping	1305129	1305129	1305129
N_noFeature	152183	15009786	14975925
N_ambiguous	439830	104631	98489
WBGene00000003	415	198	217
WBGene00000007	513	254	261
WBGene00000014	0	0	0
WBGene00000015	7	2	5
WBGene00000022	1286	672	638
WBGene00000024	1	1	0
WBGene00000027	0	0	0
WBGene00000029	0	0	0
WBGene00000030	2	2	0
WBGene00000031	4	3	1
WBGene00000054	139	68	71
WBGene00000055	157	122	91
WBGene00000056	28	18	10
WBGene00000057	114	58	56
WBGene00000062	8	5	3
WBGene00000063	5863	3661	3958
WBGene00000064	24713	12189	12581
WBGene00000065	10104	5506	5834
WBGene00000069	33	25	8
WBGene00000071	418	220	223
WBGene00000073	576	320	338
WBGene00000097	1123	569	557
WBGene00000098	6174	2970	3205
WBGene00000102	5687	2894	2813
WBGene00000108	1	0	1
WBGene00000110	5173	2573	2604
WBGene00000111	194	105	89
WBGene00000139	183	101	86
WBGene00000142	3692	1880	1902
WBGene00000144	890	441	449
WBGene00000146	5106	2554	2556
WBGene00000159	1447	730	718
WBGene00000168	3356	1695	1662
WBGene00000172	441	223	218
WBGene00000173	6	3	3
WBGene00000174	34	17	17
WBGene00000200	3859	1950	1909
WBGene00000214	43182	20880	22307
WBGene00000215	15161	7492	7837
WBGene00000218	11030	5527	5507
WBGene00000219	24921	12288	12638
WBGene00000226	4751	2364	2387
WBGene00000228	7807	3858	3950
WBGene00000233	449	237	237
WBGene00000244	37	16	21
WBGene00000249	1175	566	609
WBGene00000250	929	465	464
WBGene00000257	3438	1782	1656
WBGene00000285	145	117	100
WBGene00000298	1788	921	954
WBGene00000302	71	34	37
WBGene00000373	370	193	177
WBGene00000387	1031	510	523
WBGene00000412	9	6	3
WBGene00000445	25	17	11
WBGene00000447	16	7	9
WBGene00000449	22	13	13
WBGene00000453	161	96	83
WBGene00000454	16	6	10
WBGene00000455	84	41	46
WBGene00000477	119	62	73
WBGene00000478	41	26	15
WBGene00000480	4159	2149	2028
WBGene00000488	32	18	15
WBGene00000490	40	19	21
WBGene00000491	37	68	18
WBGene00000498	1813	927	887
WBGene00000499	701	364	368
WBGene00000514	247	127	122
WBGene00000521	0	0	0
WBGene00000533	1787	875	912
WBGene00000534	2884	1593	1627
WBGene00000539	301	142	159
WBGene00000541	103	55	56
WBGene00000552	11906	5748	6160
WBGene00000554	921	487	435
WBGene00000555	0	0	0
WBGene00000556	83	44	39
WBGene00000557	43	18	25
WBGene00000558	245	132	113
WBGene00000559	0	0	0
WBGene00000562	72	43	45
WBGene00000592	1305	639	667
WBGene00000599	215	126	89
WBGene00000601	253	148	105
WBGene00000602	117	76	41
WBGene00000614	0	1	0
WBGene00000620	23	13	10
WBGene00000712	36866	18571	18309
WBGene00000713	79424	40630	38811
WBGene00000714	123	61	62
WBGene00000715	11226	5649	5603
WBGene00000716	26527	13363	13232
WBGene00000717	316	184	132
WBGene00000718	8	1	8
WBGene00000719	29	22	9
WBGene00000720	2006	1099	925
WBGene00000721	0	0	0
WBGene00000722	2856	1452	1415
WBGene00000723	156	82	74
WBGene00000724	0	0	1
WBGene00000725	1	0	1
WBGene00000726	325	156	171
WBGene00000727	27	10	19
WBGene00000728	735	395	351
WBGene00000729	1	2	2
WBGene00000730	8	10	8
WBGene00000731	37	26	20
WBGene00000732	6964	3547	3425
WBGene00000733	30118	14228	15924
WBGene00000734	9	4	5
WBGene00000735	7	9	8
WBGene00000736	12	7	5
WBGene00000766	1099	560	545
WBGene00000776	36096	18153	17949
WBGene00000781	13043	6538	6507
WBGene00000782	16	5	11
WBGene00000783	210	104	106
WBGene00000784	6984	4020	4000
WBGene00000785	8884	4372	4513
WBGene00000789	1682	909	785
WBGene00000795	484	306	303
WBGene00000802	27446	14232	14005
WBGene00000813	2508	1251	1258
WBGene00000838	8121	4071	4051
WBGene00000840	2975	1528	1460
WBGene00000859	0	0	0
WBGene00000860	0	0	0
WBGene00000861	0	0	0
WBGene00000862	24	19	21
WBGene00000868	12082	6025	6059
WBGene00000876	3025	1584	1445
WBGene00000877	4374	2172	2204
WBGene00000879	6380	3229	3227
WBGene00000883	39822	19859	20050
WBGene00000893	4	4	0
WBGene00000907	19	12	7
WBGene00000915	96649	49059	48008
WBGene00000920	79	45	34
WBGene00000936	204	103	102
WBGene00000940	1272	638	636
WBGene00000951	108	62	48
WBGene00000955	109	62	62
WBGene00000976	2558	1223	1336
WBGene00000977	429	219	210
WBGene00000978	54	27	27
WBGene00000979	7	3	4
WBGene00000980	457	238	222
WBGene00000981	544	276	277
WBGene00000982	856	397	460
WBGene00000983	367	213	172
WBGene00000984	972	512	479
WBGene00000985	2818	1486	1413
WBGene00000986	48	28	23
WBGene00000987	1757	919	844
WBGene00001021	316	163	153
WBGene00001037	11577	5785	5802
WBGene00001040	2863	1493	1372
WBGene00001043	2561	1324	1237
WBGene00001053	93	45	48
WBGene00001054	219	117	107
WBGene00001062	0	0	0
WBGene00001073	3824	2030	1797
