N_unmapped	4857728	4857728	4857728
N_multimapping	1342000	1342000	1342000
N_noFeature	247640	23389818	23424670
N_ambiguous	693122	168402	159845
WBGene00000003	499	265	234
WBGene00000007	251	120	132
WBGene00000014	0	0	0
WBGene00000015	17	6	11
WBGene00000022	1338	659	720
WBGene00000024	3	1	2
WBGene00000027	0	0	0
WBGene00000029	0	0	1
WBGene00000030	2	0	2
WBGene00000031	46	25	21
WBGene00000054	119	66	53
WBGene00000055	127	107	60
WBGene00000056	63	29	34
WBGene00000057	73	36	37
WBGene00000062	22	10	12
WBGene00000063	2700	1986	2039
WBGene00000064	35765	17577	18255
WBGene00000065	6722	3813	3948
WBGene00000069	52	24	28
WBGene00000071	492	282	244
WBGene00000073	1032	621	636
WBGene00000097	2022	981	1045
WBGene00000098	12610	6364	6250
WBGene00000102	14856	7559	7347
WBGene00000108	1	1	0
WBGene00000110	6731	3368	3372
WBGene00000111	1010	484	526
WBGene00000139	257	130	130
WBGene00000142	7613	3864	3875
WBGene00000144	2161	1102	1060
WBGene00000146	12816	6380	6438
WBGene00000159	2371	1231	1141
WBGene00000168	8497	4163	4337
WBGene00000172	170	75	95
WBGene00000173	13	6	7
WBGene00000174	94	44	51
WBGene00000200	7228	3673	3561
WBGene00000214	15920	7795	8125
WBGene00000215	6080	3068	3070
WBGene00000218	16727	8122	8614
WBGene00000219	43995	21672	22339
WBGene00000226	8627	4392	4237
WBGene00000228	2227	1107	1122
WBGene00000233	443	260	229
WBGene00000244	30	14	16
WBGene00000249	3127	1550	1577
WBGene00000250	2993	1476	1519
WBGene00000257	8442	4305	4137
WBGene00000285	187	430	273
WBGene00000298	1786	915	943
WBGene00000302	134	64	71
WBGene00000373	437	205	232
WBGene00000387	3177	1571	1616
WBGene00000412	22	13	9
WBGene00000445	30	16	21
WBGene00000447	16	5	11
WBGene00000449	48	26	26
WBGene00000453	1665	939	919
WBGene00000454	23	7	16
WBGene00000455	70	40	33
WBGene00000477	141	86	75
WBGene00000478	454	228	228
WBGene00000480	11478	5805	5701
WBGene00000488	70	38	46
WBGene00000490	51	29	23
WBGene00000491	103	166	49
WBGene00000498	4377	2218	2161
WBGene00000499	890	450	469
WBGene00000514	322	152	172
